source_id,dfm8_prefix,processing_form,source_rows,accepted_or_tokenized_rows,sampled_tokens_per_epoch,generator_or_method,audit_method,prompt_or_recipe_evidence,status
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task634-allegro-reviews-classification,sapient-synth-flan-niv2-zsopt-data-task634-allegro-reviews-classification,generated + audited,1235,1235,214780,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task634-allegro-reviews-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task635-allegro-reviews-answer-generation,sapient-synth-flan-niv2-zsopt-data-task635-allegro-reviews-answer-generation,generated + audited,2120,2120,319795,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task635-allegro-reviews-answer-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task672-amazon-yelp-summarization,sapient-synth-flan-niv2-zsopt-data-task672-amazon-yelp-summarization,generated + audited,159,159,85279,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task672-amazon-yelp-summarization/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task870-msmarco-answer-generation,sapient-synth-flan-niv2-zsopt-data-task870-msmarco-answer-generation,generated + audited,581,581,212021,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task870-msmarco-answer-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task871-msmarco-question-generation,sapient-synth-flan-niv2-zsopt-data-task871-msmarco-question-generation,generated + audited,89,89,35607,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task871-msmarco-question-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task902-deceptive-opinion-spam-classification,sapient-synth-flan-niv2-zsopt-data-task902-deceptive-opinion-spam-classification,generated + audited,1234,1234,198319,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task902-deceptive-opinion-spam-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task903-deceptive-opinion-spam-classification,sapient-synth-flan-niv2-zsopt-data-task903-deceptive-opinion-spam-classification,generated + audited,865,865,149122,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task903-deceptive-opinion-spam-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task906-dialogre-identify-names,sapient-synth-flan-niv2-zsopt-data-task906-dialogre-identify-names,generated + audited,221,221,57511,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task906-dialogre-identify-names/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task907-dialogre-identify-relationships,sapient-synth-flan-niv2-zsopt-data-task907-dialogre-identify-relationships,generated + audited,50,50,13407,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task907-dialogre-identify-relationships/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task908-dialogre-identify-familial-relationships,sapient-synth-flan-niv2-zsopt-data-task908-dialogre-identify-familial-relationships,generated + audited,72,72,17327,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task908-dialogre-identify-familial-relationships/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task909-dialogre-prevalent-speakers,sapient-synth-flan-niv2-zsopt-data-task909-dialogre-prevalent-speakers,generated + audited,364,364,82014,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task909-dialogre-prevalent-speakers/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-platypus-reclor,sapient-synth-platypus-reclor,generated + audited,5131,5131,921983,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-platypus-reclor/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-platypus-scibench,sapient-synth-platypus-scibench,generated + audited,744,744,103655,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-platypus-scibench/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-tasksource-pragmeval-sarcasm,sapient-synth-tasksource-pragmeval-sarcasm,generated + audited,3753,3753,542414,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-tasksource-pragmeval-sarcasm/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-tasksource-reclor,sapient-synth-tasksource-reclor,generated + audited,4633,4633,900568,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-tasksource-reclor/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/transformations-danish-danish,transformations-danish-danish,generated + audited,208117,208117,496192437,Gemma 4 31B transformation-generation and judge pipeline,accepted-only export from judge audit,export-upload/transformations-danish-danish/generation_config.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/transformations-danish-english,transformations-danish-english,generated + audited,211401,211401,468891804,Gemma 4 31B transformation-generation and judge pipeline,accepted-only export from judge audit,export-upload/transformations-danish-english/generation_config.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/transformations-english-danish,transformations-english-danish,generated + audited,246288,246288,417759531,Gemma 4 31B transformation-generation and judge pipeline,accepted-only export from judge audit,export-upload/transformations-english-danish/generation_config.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/transformations-english-english,transformations-english-english,generated + audited,248474,248474,471098920,Gemma 4 31B transformation-generation and judge pipeline,accepted-only export from judge audit,export-upload/transformations-english-english/generation_config.json,engineering_method_evidence_indexed_human_rights_review_required
