source_id,average_tokens_per_epoch,dominant_basis_current_research_use,article3_reliance,article4_status,agreement_present,open_or_public_basis_present,declared_cc0,noncommercial_restriction,express_publisher_permission,participant_publication_permission,generator_terms_review,dependency_scope
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1376-newscomm-translation,273620.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1377-newscomm-translation,181717.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task264-paper-reviews-accept-reject,49270.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task265-paper-reviews-language-identification,154418.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task266-paper-reviews-reviewer-perspective,71856.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task589-amazonfood-summary-text-generation,705459.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task590-amazonfood-summary-correction-classification,811411.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task618-amazonreview-summary-text-generation,532494.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task634-allegro-reviews-classification,214780.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task635-allegro-reviews-answer-generation,319795.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task672-amazon-yelp-summarization,85279.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task870-msmarco-answer-generation,212021.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task871-msmarco-question-generation,35607.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task902-deceptive-opinion-spam-classification,198319.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task903-deceptive-opinion-spam-classification,149122.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task906-dialogre-identify-names,57511.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task907-dialogre-identify-relationships,13407.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task908-dialogre-identify-familial-relationships,17327.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task909-dialogre-prevalent-speakers,82014.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-platypus-reclor,921983.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-platypus-scibench,103655.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-tasksource-pragmeval-sarcasm,542414.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-tasksource-reclor,900568.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/transformations-danish-danish,496192437.0,agreement_backed_direct,no,not_needed_within_direct_scope,yes,yes,no,no,no,no,no,Derived from multiple seed families; seed-level licence/agreement controls.
schneiderkamplab/transformations-danish-english,468891804.0,agreement_backed_direct,no,not_needed_within_direct_scope,yes,yes,no,no,no,no,no,Derived from multiple seed families; seed-level licence/agreement controls.
schneiderkamplab/transformations-english-danish,417759531.0,agreement_backed_direct,no,not_needed_within_direct_scope,yes,yes,no,no,no,no,no,Derived from multiple seed families; seed-level licence/agreement controls.
schneiderkamplab/transformations-english-english,471098920.0,agreement_backed_direct,no,not_needed_within_direct_scope,yes,yes,no,no,no,no,no,Derived from multiple seed families; seed-level licence/agreement controls.
synquid/danish-verifiable-reasoning,18131360.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
synquid/ifbench-train,12689130.0,express_publisher_permission,no,not_needed_within_direct_scope,no,no,no,no,yes,no,no,Authorized DFM/Synquid contribution retaining WildChat prompts covered by affirmative user consent accepted for current research training.
synquid/mt-da-deepseek,8885734.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
synquid/translation-100k,98234612.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
synquid/wiki-instruct-da,988119510.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
synquid/wildchat-100k-qwen-messages,189868452.0,express_publisher_permission,no,not_needed_within_direct_scope,no,no,no,no,yes,no,no,Authorized DFM/Synquid contribution retaining WildChat prompts covered by affirmative user consent accepted for current research training.
Team-ACE/ToolACE,25227906.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
