source_id,source_url,dfm9_prefix_or_category,sampled_tokens_five_epochs,average_sampled_tokens_per_epoch,dfm9_share,captured_declared_licence,copyright_class,current_scientific_research_basis,nonresearch_or_commercial_basis,article3_required,article4_status,lineage_scope,confidence,rationale,acquisition_evidence,current_metadata_evidence,human_review_required
nvidia/Nemotron-SFT-Agentic-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Agentic-v2,nemotron_agentic,21345829520,4269165904.0,5.34054937%,cc-by-4.0;apache-2.0;mit,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/nemotron_agentic/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/nvidia/Nemotron-SFT-Agentic-v2,scope_check
nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,nemotron_instruction_reasoning_off,8016372235,1603274447.0,2.00562980%,odc-by,explicit_publisher_training_permission,"publisher expressly permits free use to train and evaluate, with ODC-By attribution",same express permission; retain attribution and applicable terms,no,not_needed_within_direct_scope,Publisher-owned hybrid/synthetic instruction corpus with express training permission.,high,"NVIDIA identifies itself as owner, states commercial readiness, and expressly permits training and evaluation.",data/downloads/datasets/nemotron_instruction_reasoning_off/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,yes
nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,nemotron_multilingual,2064291177,412858235.4,0.51646852%,cc-by-4.0;cc-by-sa-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/nemotron_multilingual/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/nvidia/Nemotron-SFT-Multilingual-v1,scope_check
nvidia/OpenMathInstruct-2,https://huggingface.co/datasets/nvidia/OpenMathInstruct-2,openmathinstruct2,33014505825,6602901165.0,8.25995533%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/openmathinstruct2/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/nvidia/OpenMathInstruct-2,scope_check
oliverkinch/autodata-da-sft,https://huggingface.co/datasets/oliverkinch/autodata-da-sft,oliverkinch_autodata_da_sft,94330900,18866180.0,0.02360081%,other,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,"DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_autodata_da_sft/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/autodata-da-sft,yes
oliverkinch/da-instruct-dynaword,https://huggingface.co/datasets/oliverkinch/da-instruct-dynaword,oliverkinch_da_instruct_dynaword,514208020,102841604.0,0.12865058%,other,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,"DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_da_instruct_dynaword/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/da-instruct-dynaword,yes
oliverkinch/da-instruct-dynaword-contemporary,https://huggingface.co/datasets/oliverkinch/da-instruct-dynaword-contemporary,oliverkinch_da_instruct_dynaword_contemporary,87776260,17555252.0,0.02196089%,other,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,"DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_da_instruct_dynaword_contemporary/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/da-instruct-dynaword-contemporary,yes
oliverkinch/da-instruct-dynaword-contemporary-hq,https://huggingface.co/datasets/oliverkinch/da-instruct-dynaword-contemporary-hq,oliverkinch_da_instruct_dynaword_contemporary_hq,127762560,25552512.0,0.03196513%,other,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,"DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_da_instruct_dynaword_contemporary_hq/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/da-instruct-dynaword-contemporary-hq,yes
oliverkinch/da-instruct-dynaword-hq,https://huggingface.co/datasets/oliverkinch/da-instruct-dynaword-hq,oliverkinch_da_instruct_dynaword_hq,120320400,24064080.0,0.03010317%,other,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,"DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_da_instruct_dynaword_hq/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/da-instruct-dynaword-hq,yes
oliverkinch/danish-qa,https://huggingface.co/datasets/oliverkinch/danish-qa,oliverkinch_danish_qa,287312680,57462536.0,0.07188325%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_danish_qa/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/danish-qa,scope_check
oliverkinch/danish-summarization,https://huggingface.co/datasets/oliverkinch/danish-summarization,oliverkinch_danish_summarization,841794940,168358988.0,0.21061011%,,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Two-source aggregate: oliverkinch/eur-lex-sum and alexandrainst/nordjylland-news-summarization.,medium,"Two-source aggregate: EUR-Lex Sum is public-domain/CC-BY derived, and the Nordjylland component is part of the accepted DynaWord source family; confirmed by the project owner on 2026-08-17. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_danish_summarization/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/danish-summarization,yes
oliverkinch/danish-university-portals-bt,https://huggingface.co/datasets/oliverkinch/danish-university-portals-bt,oliverkinch_danish_university_portals_bt,108828750,21765750.0,0.02722805%,other,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,"Source card identifies oliverkinch/danish-university-portals-cc-by as the passage source. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_danish_university_portals_bt/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/danish-university-portals-bt,yes
oliverkinch/danmarks-statistik-bt,https://huggingface.co/datasets/oliverkinch/danmarks-statistik-bt,oliverkinch_danmarks_statistik_bt,94312400,18862480.0,0.02359618%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_danmarks_statistik_bt/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/danmarks-statistik-bt,scope_check
oliverkinch/doab-da-bt,https://huggingface.co/datasets/oliverkinch/doab-da-bt,oliverkinch_doab_da_bt,3469400,693880.0,0.00086802%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_doab_da_bt/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/doab-da-bt,scope_check
oliverkinch/dst-table-prompts-bt,https://huggingface.co/datasets/oliverkinch/dst-table-prompts-bt,oliverkinch_dst_table_prompts_bt,255425800,51085160.0,0.06390542%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_dst_table_prompts_bt/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/dst-table-prompts-bt,scope_check
oliverkinch/dynaword-bt,https://huggingface.co/datasets/oliverkinch/dynaword-bt,oliverkinch_dynaword_bt,171525010,34305002.0,0.04291413%,other,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,"DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_dynaword_bt/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/dynaword-bt,yes
oliverkinch/eur-lex-bt,https://huggingface.co/datasets/oliverkinch/eur-lex-bt,oliverkinch_eur_lex_bt,83472750,16694550.0,0.02088419%,other,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,"Derived from reusable EUR-Lex legal material; generated instructions do not introduce a separate third-party corpus. Confirmed by the project owner on 2026-08-17. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_eur_lex_bt/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/eur-lex-bt,yes
oliverkinch/eur-lex-sum-instruct,https://huggingface.co/datasets/oliverkinch/eur-lex-sum-instruct,oliverkinch_eur_lex_sum_instruct,13143950,2628790.0,0.00328851%,,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,"Derived from reusable EUR-Lex legal material; generated instructions do not introduce a separate third-party corpus. Confirmed by the project owner on 2026-08-17. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_eur_lex_sum_instruct/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/eur-lex-sum-instruct,yes
oliverkinch/instruct-bt,https://huggingface.co/datasets/oliverkinch/instruct-bt,oliverkinch_instruct_bt,67302850,13460570.0,0.01683861%,,mixed_open_licences_and_training_release_agreements,direct per-source licence or DFM/data-owner agreement permitting training and model release,same direct basis within the applicable source terms and agreement scope,no,not_needed_within_direct_scope,Aggregate of DynaWord and agreement-covered Danish data-owner sources.,high,"On 2026-08-17 the project owner confirmed coverage for DynaWord, dkmedier, odense and danskerhverv. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_instruct_bt/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/instruct-bt,yes
oliverkinch/machine-translation-da-ar,https://huggingface.co/datasets/oliverkinch/machine-translation-da-ar,oliverkinch_machine_translation_da_ar,697776712,139555342.4,0.17457794%,cc0-1.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_machine_translation_da_ar/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/machine-translation-da-ar,scope_check
oliverkinch/machine-translation-da-en,https://huggingface.co/datasets/oliverkinch/machine-translation-da-en,oliverkinch_machine_translation_da_en,1421792985,284358597.0,0.35572080%,cc0-1.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_machine_translation_da_en/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/machine-translation-da-en,scope_check
oliverkinch/machine-translation-da-uk,https://huggingface.co/datasets/oliverkinch/machine-translation-da-uk,oliverkinch_machine_translation_da_uk,347475470,69495094.0,0.08693548%,cc0-1.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_machine_translation_da_uk/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/machine-translation-da-uk,scope_check
oliverkinch/multi-wiki-qa-high-quality-subset,https://huggingface.co/datasets/oliverkinch/multi-wiki-qa-high-quality-subset,oliverkinch_multi_wiki_qa_high_quality,209558250,41911650.0,0.05242973%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_multi_wiki_qa_high_quality/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/multi-wiki-qa-high-quality-subset,scope_check
oliverkinch/tidsskrift-dk-bt,https://huggingface.co/datasets/oliverkinch/tidsskrift-dk-bt,oliverkinch_tidsskrift_dk_bt,383341520,76668304.0,0.09590887%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,"Repository declares an open/public licence; embedded third-party content still needs scope verification. The project owner confirmed on 2026-08-17 that the publisher works as part of DFM; its authored contribution is authorized, without changing upstream provenance.",data/downloads/datasets/oliverkinch_tidsskrift_dk_bt/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/oliverkinch/tidsskrift-dk-bt,scope_check
open-thoughts/OpenThoughts2-1M,https://huggingface.co/datasets/open-thoughts/OpenThoughts2-1M,openthoughts2,2672373190,534474638.0,0.66860559%,apache-2.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/openthoughts2_1m/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/open-thoughts/OpenThoughts2-1M,scope_check
Salesforce/xlam-function-calling-60k,https://huggingface.co/datasets/Salesforce/xlam-function-calling-60k,xlam_native_tool_use,334839840,66967968.0,0.08377415%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/xlam_function_calling_60k/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/Salesforce/xlam-function-calling-60k,scope_check
sapientinc/HRM-Text-data-io-cleaned-20260515,https://huggingface.co/datasets/sapientinc/HRM-Text-data-io-cleaned-20260515,{Platypus|SYNTH|ampsmathematica|dmmath|flan|sudoku_extreme|tasksource},106900172584,21380034516.8,26.74553588%,odc-by,article3_research_tdm_for_uncovered_components,"DSM Article 3 candidate for scientific research, lawful access and secure retention required",DSM Article 4 only if lawful access and no effective rights reservation are evidenced,yes,conditional_not_cleared,Mixture/derived repository; component-level rights control.,medium,"All eight retained broad families are decomposed. Platypus, synthetic/math, factual FLAN, and non-factual FLAN use direct terms, Article 4, or recorded low-risk decisions. Article 3 remains necessary only for 69.759M tokens/epoch in 84 Tasksource files whose source-repository metadata is blank, unknown, other, or generic CC; MAN-020 approves that current research use.",data/downloads/datasets/sapient_cleaned/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/sapientinc/HRM-Text-data-io-cleaned-20260515,yes
schneiderkamplab/common-pile-denoising,https://huggingface.co/datasets/schneiderkamplab/common-pile-denoising,common-pile-denoising,4418090190,883618038.0,1.10536949%,apache-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,Common Pile derivative governed by retained per-record open/public-domain source terms.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/common-pile-denoising,yes
schneiderkamplab/common-pile-paragraph-reordering,https://huggingface.co/datasets/schneiderkamplab/common-pile-paragraph-reordering,common-pile-paragraph-reordering,833525595,166705119.0,0.20854119%,apache-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,Common Pile derivative governed by retained per-record open/public-domain source terms.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/common-pile-paragraph-reordering,yes
schneiderkamplab/common-pile-prefix-continuation,https://huggingface.co/datasets/schneiderkamplab/common-pile-prefix-continuation,common-pile-prefix-continuation,5768317890,1153663578.0,1.44318526%,apache-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,Common Pile derivative governed by retained per-record open/public-domain source terms.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/common-pile-prefix-continuation,yes
schneiderkamplab/common-pile-span-filling,https://huggingface.co/datasets/schneiderkamplab/common-pile-span-filling,common-pile-span-filling,4112479995,822495999.0,1.02890836%,apache-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,Common Pile derivative governed by retained per-record open/public-domain source terms.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/common-pile-span-filling,yes
schneiderkamplab/danish-dynaword-denoising,https://huggingface.co/datasets/schneiderkamplab/danish-dynaword-denoising,danish-dynaword-denoising,1616133940,323226788.0,0.40434330%,apache-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/danish-dynaword-denoising,yes
schneiderkamplab/danish-dynaword-paragraph-reordering,https://huggingface.co/datasets/schneiderkamplab/danish-dynaword-paragraph-reordering,danish-dynaword-paragraph-reordering,802365900,160473180.0,0.20074529%,apache-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/danish-dynaword-paragraph-reordering,yes
schneiderkamplab/danish-dynaword-prefix-continuation,https://huggingface.co/datasets/schneiderkamplab/danish-dynaword-prefix-continuation,danish-dynaword-prefix-continuation,1259031140,251806228.0,0.31499914%,apache-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/danish-dynaword-prefix-continuation,yes
schneiderkamplab/danish-dynaword-span-filling,https://huggingface.co/datasets/schneiderkamplab/danish-dynaword-span-filling,danish-dynaword-span-filling,1254292480,250858496.0,0.31381357%,apache-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Derived from Danish DynaWord; constituent source licence/status controls.,medium,DynaWord-derived aggregate governed by per-source open/public-domain terms; selected seed status was confirmed by the project owner on 2026-08-16.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/danish-dynaword-span-filling,yes
schneiderkamplab/dfm8-openhermes-da,https://huggingface.co/datasets/schneiderkamplab/dfm8-openhermes-da,dfm8-openhermes-da,4610166460,922033292.0,1.15342538%,,mixed_licences_and_article4,"direct OpenHermes component terms plus Article 4 / Danish section 11 b for uncovered Airoboros, Caseus, CoT-Alpaca, and Platypus expression",same basis only while Article 4 lawful-access and no-effective-reservation conditions remain satisfied; preserve component-specific direct terms,no,conditional_not_cleared,Mixture/derived repository; component-level rights control.,high,"Project translation/repair preserves prompts from fourteen OpenHermes source families, including Chatbot Arena and ShareGPT; translation does not erase prompt rights. Project-owner Article 4 determination MAN-016 supersedes the initial Article 3 fallback.",docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/dfm8-openhermes-da,yes
schneiderkamplab/dfm8-openhermes-en,https://huggingface.co/datasets/schneiderkamplab/dfm8-openhermes-en,dfm8-openhermes-en,3360657660,672131532.0,0.84080865%,,mixed_licences_and_article4,"direct OpenHermes component terms plus Article 4 / Danish section 11 b for uncovered Airoboros, Caseus, CoT-Alpaca, and Platypus expression",same basis only while Article 4 lawful-access and no-effective-reservation conditions remain satisfied; preserve component-specific direct terms,no,conditional_not_cleared,Mixture/derived repository; component-level rights control.,high,"Project repair preserves prompts from fourteen OpenHermes source families, including Chatbot Arena and ShareGPT; output repair does not erase prompt rights. Project-owner Article 4 determination MAN-016 supersedes the initial Article 3 fallback.",docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/dfm8-openhermes-en,yes
schneiderkamplab/dfm8-synthetic-code-debugging,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-code-debugging,dfm8-synthetic-code-debugging,1233233845,246646769.0,0.30854487%,,project_generated_direct,project-held/generated rights plus open-licensed/public-domain DynaWord or Common Pile seed passages,same basis if the project has authority to license/release the generated material,no,not_needed_within_direct_scope,Project-generated and audited; verify seed manifests for retained source expression.,high,Rows were generated and audited by the project; on 2026-08-16 the project owner confirmed that retained DynaWord/Common Pile seed passages are public domain or open licensed.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/dfm8-synthetic-code-debugging,scope_check
schneiderkamplab/dfm8-synthetic-constrained-format-following,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-constrained-format-following,dfm8-synthetic-constrained-format-following,855440965,171088193.0,0.21402423%,,project_generated_direct,project-held/generated rights plus open-licensed/public-domain DynaWord or Common Pile seed passages,same basis if the project has authority to license/release the generated material,no,not_needed_within_direct_scope,Project-generated and audited; verify seed manifests for retained source expression.,high,Rows were generated and audited by the project; on 2026-08-16 the project owner confirmed that retained DynaWord/Common Pile seed passages are public domain or open licensed.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/dfm8-synthetic-constrained-format-following,scope_check
schneiderkamplab/dfm8-synthetic-danish-summarization-rewrite-controls,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-danish-summarization-rewrite-controls,dfm8-synthetic-danish-summarization-rewrite-controls,1979801440,395960288.0,0.49532989%,,project_generated_direct,project-held/generated rights plus open-licensed/public-domain DynaWord or Common Pile seed passages,same basis if the project has authority to license/release the generated material,no,not_needed_within_direct_scope,Project-generated and audited; verify seed manifests for retained source expression.,high,Rows were generated and audited by the project; on 2026-08-16 the project owner confirmed that retained DynaWord/Common Pile seed passages are public domain or open licensed.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/schneiderkamplab/dfm8-synthetic-danish-summarization-rewrite-controls,scope_check
