variant,rlve_environment,source_comment_url,source_domain,source_title_or_proxy,source_fetch_status,comparison_bin,review_status,gpt41_rows,gpt41_tokens,o4mini_rows,o4mini_tokens,normalized_fourgram_min_coverage,normalized_longest_token_run,finding,manual_override,override_scope
hitoripuzzle,hitori_puzzle,,,,,native_generator_no_source_comment,no_external_expression_identified,2067,5780486,1793,606977,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
integerfactorizationcounting,integer_factorization_counting,https://www.luogu.com.cn/problem/P3861,www.luogu.com.cn,P3861 Splitting,200,close_but_constrained_restatement,manually_accepted_for_current_research,1285,1068245,832,191054,0.041,5,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
integerprogramming,integer_programming,,,,,native_generator_no_source_comment,no_external_expression_identified,329,698229,386,253430,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
integral,integral,,,,,native_generator_no_source_comment,no_external_expression_identified,349,161529,335,87707,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
inversionpairk_counting,inversion_pair_k_counting,https://www.luogu.com.cn/problem/P2513,www.luogu.com.cn,P2513 [HAOI2009] Inversion Count Sequence,200,close_but_constrained_restatement,manually_accepted_for_current_research,447,845129,375,143053,0.098,9,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
josephus,josephus,https://www.luogu.com.cn/problem/P1996,www.luogu.com.cn,P1996 Josephus Problem,200,close_but_constrained_restatement,manually_accepted_for_current_research,490,337591,311,86332,0.115,7,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
jugpuzzle,jug_puzzle,,,,,native_generator_no_source_comment,no_external_expression_identified,414,524787,399,123909,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
kakurasu,kakurasu,,,,,native_generator_no_source_comment,no_external_expression_identified,2041,3693946,1662,626093,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
kingsorting,king_sorting,https://www.luogu.com.cn/problem/P1080,www.luogu.com.cn,P1080 [NOIP 2012 Senior] King's Game,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,442,1751798,423,269849,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
knapsack,knapsack,,,,,native_generator_no_source_comment,no_external_expression_identified,2235,3104022,1698,633116,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
knightsandknaves,knights_and_knaves,,,,,native_generator_no_source_comment,no_external_expression_identified,2231,4560599,1416,702645,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
kpartition,k_partition,https://en.wikipedia.org/wiki/3-partition_problem,en.wikipedia.org,3-partition problem,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,381,695311,378,154130,0.0,0,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
kth_binarytree,kth_binary_tree,https://www.luogu.com.cn/problem/P2274,www.luogu.com.cn,P2274 [HNOI2002] Ordering of Binary Trees,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,81,119692,61,29358,0.058,6,Retains the bespoke binary-tree numbering rules and their ordered presentation.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
kth_semibalancedbracketsequence,kth_semi_balanced_bracket_sequence,,,,,native_generator_no_source_comment,no_external_expression_identified,1167,4787375,1155,200158,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
kthsubsequence,kth_subsequence,https://www.luogu.com.cn/problem/P3728,www.luogu.com.cn,P3728 Manhattan Sequence,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,362,399892,288,71134,0.011,4,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
lcm,lcm,,,,,native_generator_no_source_comment,no_external_expression_identified,444,78141,359,37613,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
ldstwo_counting,lds_two_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,243,300138,206,47263,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
lightuppuzzle,light_up_puzzle,,,,,native_generator_no_source_comment,no_external_expression_identified,440,833845,367,204227,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
linkbeads,link_beads,https://www.luogu.com.cn/problem/P3647,www.luogu.com.cn,P3647 [APIO2014] Beads and Wires,200,close_but_constrained_restatement,manually_accepted_for_current_research,2101,4461829,1861,758596,0.035,6,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
lis_lds_concatenation,lis_lds_concatenation,https://www.luogu.com.cn/problem/P1091,www.luogu.com.cn,P1091 [NOIP 2004 Senior] Chorus Formation,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,440,1303757,390,275611,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
longest_doublepalindrome,longest_double_palindrome,,,,,native_generator_no_source_comment,no_external_expression_identified,1656,2937327,1360,388816,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
longest_matchingsubsequence,longest_matching_subsequence,https://www.luogu.com.cn/problem/P1799,www.luogu.com.cn,P1799 Sequence,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,392,695440,310,129555,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
longest_repeatedpalindrome,longest_repeated_palindrome,,,,,native_generator_no_source_comment,no_external_expression_identified,208,158151,175,46981,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
longestpath,longest_path,,,,,native_generator_no_source_comment,no_external_expression_identified,2119,5713226,1905,968374,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
magicsquarepuzzle,magic_square_puzzle,,,,,native_generator_no_source_comment,no_external_expression_identified,393,975725,383,146662,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
matrix_binaryexponentiation,matrix_binary_exponentiation,,,,,native_generator_no_source_comment,no_external_expression_identified,437,950813,394,194175,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
matrixpermutation_bothdiagonalone,matrix_permutation_both_diagonal_one,,,,,native_generator_no_source_comment,no_external_expression_identified,344,1510132,390,174701,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
matrixpermutation_maindiagonalone,matrix_permutation_main_diagonal_one,,,,,native_generator_no_source_comment,no_external_expression_identified,2110,3517180,1727,911533,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
matrixpermutationequivalence,matrix_permutation_equivalence,,,,,native_generator_no_source_comment,no_external_expression_identified,411,693571,388,194674,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
matrixpooling,matrix_pooling,,,,,native_generator_no_source_comment,no_external_expression_identified,2240,2312106,1828,805828,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
max_nonadjacent_kelementsum,max_nonadjacent_k_element_sum,,,,,native_generator_no_source_comment,no_external_expression_identified,2209,2303103,1697,451659,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
max_treeconstrainedpermutation_weight,max_tree_constrained_permutation_weight,https://www.luogu.com.cn/problem/P4437,www.luogu.com.cn,P4437 [HNOI/AHOI2018] Permutation,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,431,1044608,391,120424,0.0,2,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maxdifferentgrouppairdivision,max_different_group_pair_division,https://www.luogu.com.cn/problem/P3648,www.luogu.com.cn,P3648 [APIO2014] Split the Sequence,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2219,6147132,1915,701036,0.024,5,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maxgridpathintersection,max_grid_path_intersection,https://www.luogu.com.cn/problem/P2045,www.luogu.com.cn,P2045 Grid Number Picking - Enhanced,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,422,1042943,429,182387,0.02,5,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maximum_independentset_tree,maximum_independent_set_tree,https://www.luogu.com.cn/problem/P1352,www.luogu.com.cn,P1352 Party Without a Boss,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,448,842669,401,296234,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maximum_subsequencenum,maximum_subsequence_num,,,,,native_generator_no_source_comment,no_external_expression_identified,276,224296,215,103539,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
maximumachromaticnumber,maximum_achromatic_number,,,,,native_generator_no_source_comment,no_external_expression_identified,414,1383965,411,198826,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
maximumclique,maximum_clique,,,,,native_generator_no_source_comment,no_external_expression_identified,2151,5160826,1719,855937,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
maximumdivisor,maximum_divisor,https://www.luogu.com.cn/problem/P2440,www.luogu.com.cn,P2440 Wood Processing,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2159,2990985,1729,538329,0.026,5,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maximumindependentsetgrid,maximum_independent_set_grid,https://www.luogu.com.cn/problem/P2774,www.luogu.com.cn,P2774 Grid Number Picking Problem,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,1998,5728461,1847,552100,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maximumweightmatching,maximum_weight_matching,,,,,native_generator_no_source_comment,no_external_expression_identified,442,851094,377,189736,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
maxmultsplit,max_mult_split,https://www.luogu.com.cn/problem/P1018,www.luogu.com.cn,P1018 [NOIP 2000 Senior] Maximum Product,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,441,492122,371,131448,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maxnoconflictingbombs,max_no_conflicting_bombs,https://www.luogu.com.cn/problem/P2825,www.luogu.com.cn,P2825 [HEOI2016/TJOI2016] Game,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,446,600944,378,125091,0.009,4,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maxpermutation,max_permutation,https://www.luogu.com.cn/problem/P1018,www.luogu.com.cn,P1018 [NOIP 2000 Senior] Maximum Product,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,448,547303,363,164153,0.0,2,"The prompt asks to order an integer array into the largest concatenation, while cited P1018 partitions one digit string for maximum product.",none,
maxthreesquaresum,max_three_square_sum,https://www.luogu.com.cn/problem/P3625,www.luogu.com.cn,P3625 [APIO2009] Oil Extraction Area,200,close_but_constrained_restatement,manually_accepted_for_current_research,416,1808131,387,119581,0.097,7,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
maxtreexorpath,max_tree_xor_path,https://www.luogu.com.cn/problem/P4551,www.luogu.com.cn,P4551 Longest XOR Path,200,close_but_constrained_restatement,manually_accepted_for_current_research,448,532359,387,178133,0.078,7,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
maxweightpalindromicsubstring,max_weight_palindromic_substring,https://www.luogu.com.cn/problem/P3649,www.luogu.com.cn,P3649 [APIO2014] Palindrome,200,close_but_constrained_restatement,manually_accepted_for_current_research,1235,1320355,829,162651,0.075,6,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
maxxorpath,max_xor_path,https://www.luogu.com.cn/problem/P4151,www.luogu.com.cn,P4151 [WC2011] Maximum XOR Sum Path,200,close_but_constrained_restatement,manually_accepted_for_current_research,2146,6474193,1873,809817,0.053,4,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
maxxorset,max_xor_set,https://www.luogu.com.cn/problem/P3812,www.luogu.com.cn,P3812 [Template] Linear Basis,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,434,688748,364,91158,0.0,1,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
maze,maze,,,,,native_generator_no_source_comment,no_external_expression_identified,2192,4545170,1751,558607,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
mincoversiontocyclecost,,,,,,unmatched_dataset_variant,manually_accepted_for_current_research,427,1331785,407,144724,,,Dataset ID prefix did not map to an RLVE environment under normalized exact-name matching; inspect its actual generator lineage separately.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
mindivisionsumxor,min_division_sum_xor,https://www.luogu.com.cn/problem/P3646,www.luogu.com.cn,P3646 [APIO2015] Sculptures in Bali,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2098,4966116,1954,1014092,0.01,5,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
minesweeping,minesweeping,,,,,native_generator_no_source_comment,no_external_expression_identified,416,1078034,376,161469,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimum_crossingedges_graphpartition,minimum_crossing_edges_graph_partition,,,,,native_generator_no_source_comment,no_external_expression_identified,1901,4143788,1643,569736,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimum_dominatinginterval,minimum_dominating_interval,,,,,native_generator_no_source_comment,no_external_expression_identified,418,914400,422,261757,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimum_dominatingset,minimum_dominating_set,,,,,native_generator_no_source_comment,no_external_expression_identified,2116,3687886,1809,793399,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimum_maxslicer,minimum_max_slicer,https://www.luogu.com.cn/problem/P1182,www.luogu.com.cn,P1182 Sequence Partitioning Section II,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2207,4673580,1763,1041669,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
minimum_vertexcover,minimum_vertex_cover,,,,,native_generator_no_source_comment,no_external_expression_identified,442,1034555,398,175403,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumchromaticnumber,minimum_chromatic_number,,,,,native_generator_no_source_comment,no_external_expression_identified,2176,4537171,1717,889461,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumcost_maximumflow,minimum_cost_maximum_flow,,,,,native_generator_no_source_comment,no_external_expression_identified,2151,6114880,1955,1174146,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumdirectedspanningtree,minimum_directed_spanning_tree,,,,,native_generator_no_source_comment,no_external_expression_identified,2177,5584980,1966,1469080,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumharmoniouschromaticnumber,minimum_harmonious_chromatic_number,,,,,native_generator_no_source_comment,no_external_expression_identified,2150,5524864,1857,946145,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumintervalcoverage,minimum_interval_coverage,https://www.luogu.com.cn/problem/P3980,www.luogu.com.cn,P3980 [NOI2008] Volunteer Recruitment,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,440,1419092,406,231711,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
minimumratiopath,minimum_ratio_path,https://www.luogu.com.cn/problem/P2502,www.luogu.com.cn,P2502 [HAOI2006] Travel,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,439,832239,383,197597,0.0,2,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
minimumspanningtree,minimum_spanning_tree,,,,,native_generator_no_source_comment,no_external_expression_identified,448,592465,401,291711,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumspanningtreecounting,minimum_spanning_tree_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,414,1306058,408,220920,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumsteinertree,minimum_steiner_tree,,,,,native_generator_no_source_comment,no_external_expression_identified,2226,4899906,1886,1157820,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumsumdifferencesubmatrix,minimum_sum_difference_submatrix,,,,,native_generator_no_source_comment,no_external_expression_identified,401,1627378,412,237865,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minimumtreeweighteddominatingancestor,minimum_tree_weighted_dominating_ancestor,https://www.luogu.com.cn/problem/P3354,www.luogu.com.cn,P3354 [IOI 2005] Riv River,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2057,6455977,2015,1300846,0.005,4,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
minimumweightedspanningtree,minimum_weighted_spanning_tree,,,,,native_generator_no_source_comment,no_external_expression_identified,411,1686174,420,284486,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minkdivisornumber,min_kdivisor_number,https://www.luogu.com.cn/problem/P1128,www.luogu.com.cn,P1128 [HNOI2001] Find the Positive Integer,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,232,197832,187,51618,0.026,4,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
minnonsubstring,min_nonsubstring,,,,,native_generator_no_source_comment,no_external_expression_identified,1150,716866,799,206182,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minnosolutionlineardiophantineequation,min_no_solution_linear_diophantine_equation,,,,,native_generator_no_source_comment,no_external_expression_identified,433,157102,344,71531,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
minxorpair,min_xor_pair,,,,,native_generator_no_source_comment,no_external_expression_identified,2187,2230567,1732,613821,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
moneycharginggame,money_charging_game,,,,,native_generator_no_source_comment,no_external_expression_identified,1926,7758239,1933,911914,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
monochromeblockcounting,monochrome_block_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,348,768165,296,120775,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
mostcomponenttreeremovingtwopaths,most_component_tree_removing_two_paths,https://www.luogu.com.cn/problem/P3748,www.luogu.com.cn,"P3748 [Six-Province Joint Exam 2017] Destroy the ""Tree Diagram""",200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,429,1075030,353,107883,0.025,4,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
multipleflippinggame,multiple_flipping_game,https://www.luogu.com.cn/problem/P3179,www.luogu.com.cn,P3179 [HAOI2015] Array Game,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,1080,2399576,844,291258,0.127,10,Retains the bespoke white-cell multiple-index flipping game rules.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
multiplication,multiplication,,,,,native_generator_no_source_comment,no_external_expression_identified,448,118335,374,81326,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
nandresultcounting,nand_result_counting,https://www.luogu.com.cn/problem/P3220,www.luogu.com.cn,P3220 [HNOI2012] NAND,200,close_but_constrained_restatement,manually_accepted_for_current_research,2139,3797868,1631,573298,0.036,6,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
negativebase,negative_base,https://www.luogu.com.cn/problem/P1017,www.luogu.com.cn,P1017 [NOIP 2000 Senior] Base Conversion,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,1939,1702248,1537,680331,0.0,3,Retains the same negative-base explanation and distinctive -15/base -2 worked example.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
nextpalindromic,next_palindromic,https://www.luogu.com.cn/problem/P1609,www.luogu.com.cn,P1609 Smallest Palindromic Number,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,431,113336,351,46276,0.0,1,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
ninepuzzle,nine_puzzle,,,,,native_generator_no_source_comment,no_external_expression_identified,2034,7309505,1951,720501,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
nodoubletriplecounting,no_double_triple_counting,https://www.luogu.com.cn/problem/P3226,www.luogu.com.cn,P3226 [HNOI2012] Set Selection,200,close_but_constrained_restatement,manually_accepted_for_current_research,896,3596447,910,117140,0.333,7,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
notcontainingstringcounting,not_containing_string_counting,https://www.luogu.com.cn/problem/P3193,www.luogu.com.cn,P3193 [HNOI2008] GT Exam,200,close_but_constrained_restatement,manually_accepted_for_current_research,2081,5608179,1882,352072,0.05,4,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
numberpartitioncounting,number_partition_counting,https://www.luogu.com.cn/problem/P1025,www.luogu.com.cn,P1025 [NOIP 2001 Senior] Integer Partition,200,close_but_constrained_restatement,manually_accepted_for_current_research,372,567728,308,99099,0.047,5,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
